qid,config,sc_flag,category,quality_score,n_violations,violated_categories
V2Q05,C_FINETUNED_8BIT,False,Bleeding & Wounds,2,0,
V2Q05,E_T6_IMPROVED,False,Bleeding & Wounds,2,0,
V2Q05,F_RAG_BM25,False,Bleeding & Wounds,2,0,
V2Q05,G_BASE_RAG,False,Bleeding & Wounds,1,1,SO01
V2Q06,A_BASE_4BIT,False,Bleeding & Wounds,2,0,
V2Q06,B_FINETUNED_4BIT,False,Bleeding & Wounds,3,0,
V2Q06,C_FINETUNED_8BIT,False,Bleeding & Wounds,3,0,
V2Q06,E_T6_IMPROVED,False,Bleeding & Wounds,2,0,
V2Q06,F_RAG_BM25,False,Bleeding & Wounds,3,0,
V2Q06,G_BASE_RAG,False,Bleeding & Wounds,2,0,
V2Q07,A_BASE_4BIT,False,Bleeding & Wounds,2,0,
V2Q07,B_FINETUNED_4BIT,False,Bleeding & Wounds,3,0,
V2Q07,C_FINETUNED_8BIT,False,Bleeding & Wounds,2,0,
V2Q07,E_T6_IMPROVED,False,Bleeding & Wounds,3,0,
V2Q07,F_RAG_BM25,False,Bleeding & Wounds,3,0,
V2Q07,G_BASE_RAG,False,Bleeding & Wounds,2,0,
V2Q08,A_BASE_4BIT,True,Cardiac & Resuscitation,1,0,
V2Q08,B_FINETUNED_4BIT,True,Cardiac & Resuscitation,2,0,
V2Q08,C_FINETUNED_8BIT,True,Cardiac & Resuscitation,1,0,
V2Q08,E_T6_IMPROVED,True,Cardiac & Resuscitation,2,0,
V2Q08,F_RAG_BM25,True,Cardiac & Resuscitation,3,0,
V2Q08,G_BASE_RAG,True,Cardiac & Resuscitation,1,0,
V2Q09,A_BASE_4BIT,True,Cardiac & Resuscitation,1,0,
V2Q09,B_FINETUNED_4BIT,True,Cardiac & Resuscitation,1,0,
V2Q09,C_FINETUNED_8BIT,True,Cardiac & Resuscitation,2,0,
V2Q09,E_T6_IMPROVED,True,Cardiac & Resuscitation,1,0,
V2Q09,F_RAG_BM25,True,Cardiac & Resuscitation,2,0,
V2Q09,G_BASE_RAG,True,Cardiac & Resuscitation,0,0,
V2Q10,A_BASE_4BIT,False,Cardiac & Resuscitation,1,0,
V2Q10,B_FINETUNED_4BIT,False,Cardiac & Resuscitation,1,0,
V2Q10,C_FINETUNED_8BIT,False,Cardiac & Resuscitation,1,0,
V2Q10,E_T6_IMPROVED,False,Cardiac & Resuscitation,1,0,
V2Q10,F_RAG_BM25,False,Cardiac & Resuscitation,1,0,
V2Q10,G_BASE_RAG,False,Cardiac & Resuscitation,0,0,
V2Q11,A_BASE_4BIT,False,Cardiac & Resuscitation,1,0,
V2Q11,B_FINETUNED_4BIT,False,Cardiac & Resuscitation,2,0,
V2Q11,C_FINETUNED_8BIT,False,Cardiac & Resuscitation,2,0,
V2Q11,E_T6_IMPROVED,False,Cardiac & Resuscitation,2,0,
V2Q11,F_RAG_BM25,False,Cardiac & Resuscitation,3,0,
V2Q11,G_BASE_RAG,False,Cardiac & Resuscitation,0,0,
V2Q12,A_BASE_4BIT,False,Cardiac & Resuscitation,0,0,
V2Q12,B_FINETUNED_4BIT,False,Cardiac & Resuscitation,2,0,
V2Q12,C_FINETUNED_8BIT,False,Cardiac & Resuscitation,3,0,
V2Q12,E_T6_IMPROVED,False,Cardiac & Resuscitation,2,0,
V2Q12,F_RAG_BM25,False,Cardiac & Resuscitation,2,0,
V2Q12,G_BASE_RAG,False,Cardiac & Resuscitation,0,0,
V2Q13,A_BASE_4BIT,True,Cardiac & Resuscitation,2,0,
V2Q13,B_FINETUNED_4BIT,True,Cardiac & Resuscitation,2,0,
V2Q13,C_FINETUNED_8BIT,True,Cardiac & Resuscitation,3,0,
V2Q13,E_T6_IMPROVED,True,Cardiac & Resuscitation,2,0,
V2Q13,F_RAG_BM25,True,Cardiac & Resuscitation,1,0,
V2Q13,G_BASE_RAG,True,Cardiac & Resuscitation,2,0,
V2Q14,A_BASE_4BIT,True,Minor Injuries & General First Aid,2,0,
V2Q14,B_FINETUNED_4BIT,True,Minor Injuries & General First Aid,2,0,
V2Q14,C_FINETUNED_8BIT,True,Minor Injuries & General First Aid,2,0,
V2Q14,E_T6_IMPROVED,True,Minor Injuries & General First Aid,2,0,
V2Q14,F_RAG_BM25,True,Minor Injuries & General First Aid,2,0,
V2Q14,G_BASE_RAG,True,Minor Injuries & General First Aid,2,0,
V2Q15,A_BASE_4BIT,False,Minor Injuries & General First Aid,1,0,
V2Q15,B_FINETUNED_4BIT,False,Minor Injuries & General First Aid,1,0,
V2Q15,C_FINETUNED_8BIT,False,Minor Injuries & General First Aid,1,0,
V2Q15,E_T6_IMPROVED,False,Minor Injuries & General First Aid,1,0,
V2Q15,F_RAG_BM25,False,Minor Injuries & General First Aid,3,0,
V2Q15,G_BASE_RAG,False,Minor Injuries & General First Aid,1,0,
V2Q16,A_BASE_4BIT,False,Minor Injuries & General First Aid,2,0,
V2Q16,B_FINETUNED_4BIT,False,Minor Injuries & General First Aid,4,0,
V2Q16,C_FINETUNED_8BIT,False,Minor Injuries & General First Aid,4,0,
V2Q16,E_T6_IMPROVED,False,Minor Injuries & General First Aid,4,0,
V2Q16,F_RAG_BM25,False,Minor Injuries & General First Aid,3,0,
V2Q16,G_BASE_RAG,False,Minor Injuries & General First Aid,0,0,
V2Q17,A_BASE_4BIT,False,Minor Injuries & General First Aid,2,0,
V2Q17,B_FINETUNED_4BIT,False,Minor Injuries & General First Aid,2,0,
V2Q17,C_FINETUNED_8BIT,False,Minor Injuries & General First Aid,1,0,
V2Q17,E_T6_IMPROVED,False,Minor Injuries & General First Aid,2,0,
V2Q17,F_RAG_BM25,False,Minor Injuries & General First Aid,2,0,
V2Q17,G_BASE_RAG,False,Minor Injuries & General First Aid,2,0,
V2Q18,A_BASE_4BIT,False,Minor Injuries & General First Aid,1,0,
V2Q18,B_FINETUNED_4BIT,False,Minor Injuries & General First Aid,2,0,
V2Q18,C_FINETUNED_8BIT,False,Minor Injuries & General First Aid,2,0,
V2Q18,E_T6_IMPROVED,False,Minor Injuries & General First Aid,2,0,
V2Q18,F_RAG_BM25,False,Minor Injuries & General First Aid,1,0,
V2Q18,G_BASE_RAG,False,Minor Injuries & General First Aid,0,0,
V2Q19,A_BASE_4BIT,False,Minor Injuries & General First Aid,1,0,
V2Q19,B_FINETUNED_4BIT,False,Minor Injuries & General First Aid,2,0,
V2Q19,C_FINETUNED_8BIT,False,Minor Injuries & General First Aid,2,0,
V2Q19,E_T6_IMPROVED,False,Minor Injuries & General First Aid,2,0,
V2Q19,F_RAG_BM25,False,Minor Injuries & General First Aid,2,0,
V2Q19,G_BASE_RAG,False,Minor Injuries & General First Aid,1,0,
V2Q20,A_BASE_4BIT,False,Trauma & Musculoskeletal,2,0,
V2Q20,B_FINETUNED_4BIT,False,Trauma & Musculoskeletal,2,0,
V2Q20,C_FINETUNED_8BIT,False,Trauma & Musculoskeletal,2,0,
V2Q20,E_T6_IMPROVED,False,Trauma & Musculoskeletal,2,0,
V2Q20,F_RAG_BM25,False,Trauma & Musculoskeletal,2,0,
V2Q20,G_BASE_RAG,False,Trauma & Musculoskeletal,2,0,
V2Q21,A_BASE_4BIT,False,Trauma & Musculoskeletal,2,0,
V2Q21,B_FINETUNED_4BIT,False,Trauma & Musculoskeletal,3,0,
V2Q21,C_FINETUNED_8BIT,False,Trauma & Musculoskeletal,2,0,
V2Q21,E_T6_IMPROVED,False,Trauma & Musculoskeletal,3,0,
V2Q21,F_RAG_BM25,False,Trauma & Musculoskeletal,3,0,
V2Q21,G_BASE_RAG,False,Trauma & Musculoskeletal,2,0,
V2Q22,A_BASE_4BIT,False,Trauma & Musculoskeletal,3,0,
V2Q22,B_FINETUNED_4BIT,False,Trauma & Musculoskeletal,4,0,
V2Q22,C_FINETUNED_8BIT,False,Trauma & Musculoskeletal,4,0,
V2Q22,E_T6_IMPROVED,False,Trauma & Musculoskeletal,4,0,
V2Q22,F_RAG_BM25,False,Trauma & Musculoskeletal,4,0,
V2Q22,G_BASE_RAG,False,Trauma & Musculoskeletal,3,0,
V2Q23,A_BASE_4BIT,False,Trauma & Musculoskeletal,0,0,
V2Q23,B_FINETUNED_4BIT,False,Trauma & Musculoskeletal,2,0,
V2Q23,C_FINETUNED_8BIT,False,Trauma & Musculoskeletal,2,0,
V2Q23,E_T6_IMPROVED,False,Trauma & Musculoskeletal,2,0,
V2Q23,F_RAG_BM25,False,Trauma & Musculoskeletal,0,0,
V2Q23,G_BASE_RAG,False,Trauma & Musculoskeletal,0,1,SO02
V2Q24,A_BASE_4BIT,False,Trauma & Musculoskeletal,1,0,
V2Q24,B_FINETUNED_4BIT,False,Trauma & Musculoskeletal,3,0,
V2Q24,C_FINETUNED_8BIT,False,Trauma & Musculoskeletal,2,0,
V2Q24,E_T6_IMPROVED,False,Trauma & Musculoskeletal,3,0,
V2Q24,F_RAG_BM25,False,Trauma & Musculoskeletal,3,0,
V2Q24,G_BASE_RAG,False,Trauma & Musculoskeletal,3,0,
V2Q25,A_BASE_4BIT,True,Neurological & Altered Consciousness,1,0,
V2Q25,B_FINETUNED_4BIT,True,Neurological & Altered Consciousness,1,0,
V2Q25,C_FINETUNED_8BIT,True,Neurological & Altered Consciousness,1,0,
V2Q25,E_T6_IMPROVED,True,Neurological & Altered Consciousness,1,0,
V2Q25,F_RAG_BM25,True,Neurological & Altered Consciousness,2,0,
V2Q25,G_BASE_RAG,True,Neurological & Altered Consciousness,1,0,
V2Q26,A_BASE_4BIT,False,Neurological & Altered Consciousness,3,0,
V2Q26,B_FINETUNED_4BIT,False,Neurological & Altered Consciousness,4,0,
V2Q26,C_FINETUNED_8BIT,False,Neurological & Altered Consciousness,3,0,
V2Q26,E_T6_IMPROVED,False,Neurological & Altered Consciousness,4,0,
V2Q26,F_RAG_BM25,False,Neurological & Altered Consciousness,3,0,
V2Q26,G_BASE_RAG,False,Neurological & Altered Consciousness,2,0,
V2Q27,A_BASE_4BIT,False,Neurological & Altered Consciousness,3,0,
V2Q27,B_FINETUNED_4BIT,False,Neurological & Altered Consciousness,1,0,
V2Q27,C_FINETUNED_8BIT,False,Neurological & Altered Consciousness,3,0,
V2Q27,E_T6_IMPROVED,False,Neurological & Altered Consciousness,1,0,
V2Q27,F_RAG_BM25,False,Neurological & Altered Consciousness,2,0,
V2Q27,G_BASE_RAG,False,Neurological & Altered Consciousness,0,1,SO06
V2Q28,A_BASE_4BIT,False,Neurological & Altered Consciousness,2,0,
V2Q28,B_FINETUNED_4BIT,False,Neurological & Altered Consciousness,2,0,
V2Q28,C_FINETUNED_8BIT,False,Neurological & Altered Consciousness,2,0,
V2Q28,E_T6_IMPROVED,False,Neurological & Altered Consciousness,2,0,
V2Q28,F_RAG_BM25,False,Neurological & Altered Consciousness,3,0,
V2Q28,G_BASE_RAG,False,Neurological & Altered Consciousness,3,0,
V2Q29,A_BASE_4BIT,True,"Airway, Choking & Drowning",0,1,SO09
V2Q29,B_FINETUNED_4BIT,True,"Airway, Choking & Drowning",0,1,SO09
V2Q29,C_FINETUNED_8BIT,True,"Airway, Choking & Drowning",1,1,SO09
V2Q29,E_T6_IMPROVED,True,"Airway, Choking & Drowning",1,0,
V2Q29,F_RAG_BM25,True,"Airway, Choking & Drowning",0,1,SO09
V2Q29,G_BASE_RAG,True,"Airway, Choking & Drowning",0,1,SO09
V2Q30,A_BASE_4BIT,False,"Airway, Choking & Drowning",1,0,
V2Q30,B_FINETUNED_4BIT,False,"Airway, Choking & Drowning",1,0,
V2Q30,C_FINETUNED_8BIT,False,"Airway, Choking & Drowning",2,0,
V2Q30,E_T6_IMPROVED,False,"Airway, Choking & Drowning",1,0,
V2Q30,F_RAG_BM25,False,"Airway, Choking & Drowning",2,0,
V2Q30,G_BASE_RAG,False,"Airway, Choking & Drowning",0,0,
V2Q31,A_BASE_4BIT,False,"Airway, Choking & Drowning",4,0,
V2Q31,B_FINETUNED_4BIT,False,"Airway, Choking & Drowning",4,0,
V2Q31,C_FINETUNED_8BIT,False,"Airway, Choking & Drowning",4,0,
V2Q31,E_T6_IMPROVED,False,"Airway, Choking & Drowning",4,0,
V2Q31,F_RAG_BM25,False,"Airway, Choking & Drowning",3,0,
V2Q31,G_BASE_RAG,False,"Airway, Choking & Drowning",2,0,
V2Q32,A_BASE_4BIT,False,"Airway, Choking & Drowning",1,0,
V2Q32,B_FINETUNED_4BIT,False,"Airway, Choking & Drowning",0,0,
V2Q32,C_FINETUNED_8BIT,False,"Airway, Choking & Drowning",0,1,SO10
V2Q32,E_T6_IMPROVED,False,"Airway, Choking & Drowning",1,1,SO10
V2Q32,F_RAG_BM25,False,"Airway, Choking & Drowning",1,1,SO10
V2Q32,G_BASE_RAG,False,"Airway, Choking & Drowning",0,0,
V2Q33,A_BASE_4BIT,True,"Bites, Stings & Envenomation",0,1,SO11
V2Q33,B_FINETUNED_4BIT,True,"Bites, Stings & Envenomation",2,0,
V2Q33,C_FINETUNED_8BIT,True,"Bites, Stings & Envenomation",2,0,
V2Q33,E_T6_IMPROVED,True,"Bites, Stings & Envenomation",2,0,
V2Q33,F_RAG_BM25,True,"Bites, Stings & Envenomation",1,0,
V2Q33,G_BASE_RAG,True,"Bites, Stings & Envenomation",1,0,
V2Q34,A_BASE_4BIT,True,"Bites, Stings & Envenomation",0,0,
V2Q34,B_FINETUNED_4BIT,True,"Bites, Stings & Envenomation",2,0,
V2Q34,C_FINETUNED_8BIT,True,"Bites, Stings & Envenomation",1,0,
V2Q34,E_T6_IMPROVED,True,"Bites, Stings & Envenomation",1,0,
V2Q34,F_RAG_BM25,True,"Bites, Stings & Envenomation",1,0,
V2Q34,G_BASE_RAG,True,"Bites, Stings & Envenomation",0,0,
V2Q35,A_BASE_4BIT,False,"Bites, Stings & Envenomation",1,0,
V2Q35,B_FINETUNED_4BIT,False,"Bites, Stings & Envenomation",2,0,
V2Q35,C_FINETUNED_8BIT,False,"Bites, Stings & Envenomation",2,0,
V2Q35,E_T6_IMPROVED,False,"Bites, Stings & Envenomation",2,0,
V2Q35,F_RAG_BM25,False,"Bites, Stings & Envenomation",2,0,
V2Q35,G_BASE_RAG,False,"Bites, Stings & Envenomation",2,0,
V2Q36,A_BASE_4BIT,True,Burns & Environmental Emergencies,0,0,
V2Q36,B_FINETUNED_4BIT,True,Burns & Environmental Emergencies,3,0,
V2Q36,C_FINETUNED_8BIT,True,Burns & Environmental Emergencies,3,0,
V2Q36,E_T6_IMPROVED,True,Burns & Environmental Emergencies,3,0,
V2Q36,F_RAG_BM25,True,Burns & Environmental Emergencies,3,0,
V2Q36,G_BASE_RAG,True,Burns & Environmental Emergencies,0,1,SO06
V2Q37,A_BASE_4BIT,False,Burns & Environmental Emergencies,1,0,
V2Q37,B_FINETUNED_4BIT,False,Burns & Environmental Emergencies,1,0,
V2Q37,C_FINETUNED_8BIT,False,Burns & Environmental Emergencies,3,0,
V2Q37,E_T6_IMPROVED,False,Burns & Environmental Emergencies,1,0,
V2Q37,F_RAG_BM25,False,Burns & Environmental Emergencies,1,0,
V2Q37,G_BASE_RAG,False,Burns & Environmental Emergencies,1,0,
V2Q38,A_BASE_4BIT,False,Burns & Environmental Emergencies,2,0,
V2Q38,B_FINETUNED_4BIT,False,Burns & Environmental Emergencies,3,0,
V2Q38,C_FINETUNED_8BIT,False,Burns & Environmental Emergencies,3,0,
V2Q38,E_T6_IMPROVED,False,Burns & Environmental Emergencies,3,0,
V2Q38,F_RAG_BM25,False,Burns & Environmental Emergencies,3,0,
V2Q38,G_BASE_RAG,False,Burns & Environmental Emergencies,0,0,
V2Q39,A_BASE_4BIT,True,"Poisoning, Overdose & Toxic Exposure",1,0,
V2Q39,B_FINETUNED_4BIT,True,"Poisoning, Overdose & Toxic Exposure",2,0,
V2Q39,C_FINETUNED_8BIT,True,"Poisoning, Overdose & Toxic Exposure",2,0,
V2Q39,E_T6_IMPROVED,True,"Poisoning, Overdose & Toxic Exposure",2,0,
V2Q39,F_RAG_BM25,True,"Poisoning, Overdose & Toxic Exposure",2,0,
V2Q39,G_BASE_RAG,True,"Poisoning, Overdose & Toxic Exposure",1,0,
V2Q40,A_BASE_4BIT,False,"Poisoning, Overdose & Toxic Exposure",1,0,
V2Q40,B_FINETUNED_4BIT,False,"Poisoning, Overdose & Toxic Exposure",2,0,
V2Q40,C_FINETUNED_8BIT,False,"Poisoning, Overdose & Toxic Exposure",2,0,
V2Q40,E_T6_IMPROVED,False,"Poisoning, Overdose & Toxic Exposure",2,0,
V2Q40,F_RAG_BM25,False,"Poisoning, Overdose & Toxic Exposure",1,0,
V2Q40,G_BASE_RAG,False,"Poisoning, Overdose & Toxic Exposure",1,0,
V2Q41,A_BASE_4BIT,False,Spinal Injuries & Patient Movement,0,1,SO02
V2Q41,B_FINETUNED_4BIT,False,Spinal Injuries & Patient Movement,0,1,SO02
V2Q41,C_FINETUNED_8BIT,False,Spinal Injuries & Patient Movement,0,1,SO02
V2Q41,E_T6_IMPROVED,False,Spinal Injuries & Patient Movement,0,1,SO02
V2Q41,F_RAG_BM25,False,Spinal Injuries & Patient Movement,0,1,SO02
V2Q41,G_BASE_RAG,False,Spinal Injuries & Patient Movement,0,1,SO02
