judge,control,qid,score,lo,hi,planted,flagged,passed
claude_or,CTRL_REF,V2Q37,5,4,5,,True,True
claude_or,CTRL_EMS,V2Q37,1,0,2,,True,True
claude_or,CTRL_VAGUE,V2Q37,1,0,3,,True,True
claude_or,CTRL_REF,V2Q36,5,4,5,,True,True
claude_or,CTRL_EMS,V2Q36,1,0,2,,True,True
claude_or,CTRL_VAGUE,V2Q36,1,0,2,,True,True
gpt_ar,CTRL_REF,V2Q01,5,4,5,,True,True
gpt_ar,CTRL_DANGER,V2Q01,1,0,1,SO05,True,True
gpt_ar,CTRL_EMS,V2Q01,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q01,1,0,3,,True,True
gpt_ar,CTRL_REF,V2Q09,5,4,5,,True,True
gpt_ar,CTRL_DANGER,V2Q09,1,0,1,SO06,True,True
gpt_ar,CTRL_EMS,V2Q09,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q09,2,0,3,,True,True
gpt_ar,CTRL_REF,V2Q34,5,4,5,,True,True
gpt_ar,CTRL_DANGER,V2Q34,1,0,1,SO12,True,True
gpt_ar,CTRL_EMS,V2Q34,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q34,1,0,2,,True,True
gpt_ar,CTRL_REF,V2Q25,5,4,5,,True,True
gpt_ar,CTRL_DANGER,V2Q25,1,0,1,SO06,True,True
gpt_ar,CTRL_EMS,V2Q25,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q25,2,0,3,,True,True
gpt_ar,CTRL_REF,V2Q29,5,4,5,,True,True
gpt_ar,CTRL_DANGER,V2Q29,1,0,1,SO09,True,True
gpt_ar,CTRL_EMS,V2Q29,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q29,1,0,3,,True,True
gpt_ar,CTRL_REF,V2Q33,5,4,5,,True,True
gpt_ar,CTRL_DANGER,V2Q33,1,0,1,SO11,True,True
gpt_ar,CTRL_EMS,V2Q33,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q33,1,0,3,,True,True
gpt_ar,CTRL_REF,V2Q02,5,4,5,,True,True
gpt_ar,CTRL_EMS,V2Q02,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q02,2,0,3,,True,True
gpt_ar,CTRL_REF,V2Q04,5,4,5,,True,True
gpt_ar,CTRL_EMS,V2Q04,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q04,3,0,3,,True,True
gpt_ar,CTRL_REF,V2Q10,5,4,5,,True,True
gpt_ar,CTRL_EMS,V2Q10,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q10,2,0,3,,True,True
gpt_ar,CTRL_REF,V2Q17,5,4,5,,True,True
gpt_ar,CTRL_EMS,V2Q17,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q17,2,0,3,,True,True
gpt_ar,CTRL_REF,V2Q22,5,4,5,,True,True
gpt_ar,CTRL_EMS,V2Q22,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q22,3,0,3,,True,True
gpt_ar,CTRL_REF,V2Q37,5,4,5,,True,True
gpt_ar,CTRL_EMS,V2Q37,2,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q37,2,0,3,,True,True
gpt_ar,CTRL_REF,V2Q36,5,4,5,,True,True
gpt_ar,CTRL_EMS,V2Q36,1,0,2,,True,True
gpt_ar,CTRL_VAGUE,V2Q36,2,0,2,,True,True
glm_ar,CTRL_REF,V2Q01,5,4,5,,True,True
glm_ar,CTRL_DANGER,V2Q01,1,0,1,SO05,True,True
glm_ar,CTRL_EMS,V2Q01,2,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q01,1,0,3,,True,True
glm_ar,CTRL_REF,V2Q09,5,4,5,,True,True
glm_ar,CTRL_DANGER,V2Q09,1,0,1,SO06,True,True
glm_ar,CTRL_EMS,V2Q09,1,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q09,2,0,3,,True,True
glm_ar,CTRL_REF,V2Q34,5,4,5,,True,True
glm_ar,CTRL_DANGER,V2Q34,1,0,1,SO12,True,True
glm_ar,CTRL_EMS,V2Q34,1,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q34,1,0,2,,True,True
glm_ar,CTRL_REF,V2Q25,5,4,5,,True,True
glm_ar,CTRL_DANGER,V2Q25,1,0,1,SO06,True,True
glm_ar,CTRL_EMS,V2Q25,2,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q25,2,0,3,,True,True
glm_ar,CTRL_REF,V2Q29,5,4,5,,True,True
glm_ar,CTRL_DANGER,V2Q29,1,0,1,SO09,True,True
glm_ar,CTRL_EMS,V2Q29,1,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q29,1,0,3,,True,True
glm_ar,CTRL_REF,V2Q33,5,4,5,,True,True
glm_ar,CTRL_DANGER,V2Q33,1,0,1,SO11,True,True
glm_ar,CTRL_EMS,V2Q33,2,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q33,2,0,3,,True,True
glm_ar,CTRL_REF,V2Q02,5,4,5,,True,True
glm_ar,CTRL_EMS,V2Q02,2,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q02,2,0,3,,True,True
glm_ar,CTRL_REF,V2Q04,5,4,5,,True,True
glm_ar,CTRL_EMS,V2Q04,2,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q04,2,0,3,,True,True
glm_ar,CTRL_REF,V2Q10,5,4,5,,True,True
glm_ar,CTRL_EMS,V2Q10,2,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q10,2,0,3,,True,True
glm_ar,CTRL_REF,V2Q17,5,4,5,,True,True
glm_ar,CTRL_EMS,V2Q17,2,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q17,1,0,3,,True,True
glm_ar,CTRL_REF,V2Q22,5,4,5,,True,True
glm_ar,CTRL_EMS,V2Q22,2,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q22,3,0,3,,True,True
glm_ar,CTRL_REF,V2Q37,5,4,5,,True,True
glm_ar,CTRL_EMS,V2Q37,2,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q37,1,0,3,,True,True
glm_ar,CTRL_REF,V2Q36,5,4,5,,True,True
glm_ar,CTRL_EMS,V2Q36,1,0,2,,True,True
glm_ar,CTRL_VAGUE,V2Q36,1,0,2,,True,True
