judge,qid,config,category,SC,score,flags,rationale
deepseek,V2Q11,A_BASE_4BIT,Cardiac & Resuscitation,False,2,,"The response is an EMS-only referral with no actionable AED steps, which is capped at 2. It provides no offline-executable protocol."
deepseek,V2Q12,A_BASE_4BIT,Cardiac & Resuscitation,False,0,,"The candidate answer does not provide any first-aid guidance; it states it cannot answer from context. This is non-responsive and provides no actionable protocol, scoring 0."
deepseek,V2Q13,A_BASE_4BIT,Cardiac & Resuscitation,True,3,,"The answer says 'call 911 immediately' despite no phone signal, and then provides CPR instructions. It includes hands-only CPR but also rescue breaths, which is acceptable. However, it omits the critical point of not leaving the person and continuing CPR. The instruction to call 911 is not actionable offline, but the CPR steps are present. No safety overrides violated. Score 3."
deepseek,V2Q14,A_BASE_4BIT,Minor Injuries & General First Aid,True,1,,"The answer instructs manual removal of a swallowed object, which is contraindicated for button batteries and magnets; it can cause further injury or perforation. It omits critical steps like no food/drink and urgent endoscopy. This is dangerous advice."
deepseek,V2Q15,A_BASE_4BIT,Minor Injuries & General First Aid,False,1,,"The answer contains dangerous advice: using fingers to grasp and pull a solid object from the eye, and applying pressure to the eye. These actions can cause corneal abrasion or further injury. It also omits safe flushing technique."
deepseek,V2Q16,A_BASE_4BIT,Minor Injuries & General First Aid,False,2,,"The candidate answer provides no first-aid guidance and only advises seeking professional help, which is an EMS-only response. It omits the critical instruction to flush the eye gently with water and fails to explain why rubbing is harmful. Under the offline rubric, this is capped at 2."
deepseek,V2Q17,A_BASE_4BIT,Minor Injuries & General First Aid,False,3,,"The answer lists several signs but omits critical ones: age under 3 months with fever, non-blanching rash, seizure, and bulging fontanelle. It also gives a lower temperature threshold (39.4°C) than the reference (40°C), which could cause unnecessary alarm but is not dangerous. No safety overrides. Not EMS-only."
deepseek,V2Q18,A_BASE_4BIT,Minor Injuries & General First Aid,False,1,,"The answer contains multiple critical errors: it advises calling 911 as primary action, incorrectly states to start CPR if conscious, and includes irrelevant steps like controlling bleeding. It omits key steps such as raising legs and not giving food/drink. This is dangerous and incomplete."
deepseek,V2Q19,A_BASE_4BIT,Minor Injuries & General First Aid,False,1,,"The answer incorrectly instructs to start CPR without checking breathing, and gives rescue breaths every 2-3 minutes instead of 30:2. It omits recovery position and monitoring. These are critical errors."
deepseek,V2Q20,A_BASE_4BIT,Trauma & Musculoskeletal,False,1,,"The answer contains multiple dangerous errors: instructs to lay patient on back with arm extended (should support in position found), apply pressure directly over fracture site (contraindicated), and move fingers/wrist to check immobilization (should check circulation, not movement). These could cause further injury."
deepseek,V2Q21,A_BASE_4BIT,Trauma & Musculoskeletal,False,2,,"The answer contains incorrect signs (dehydration, gurgling sound) and omits key fracture indicators like crepitus, audible crack, and numbness/tingling. It is partially correct but misleading."
deepseek,V2Q22,A_BASE_4BIT,Trauma & Musculoskeletal,False,0,,"The candidate answer refuses to provide any first-aid guidance, offering no actionable steps. It is not an EMS-only response but is completely non-informative, leaving the user without any protocol. This is insufficient for offline deployment."
deepseek,V2Q23,A_BASE_4BIT,Trauma & Musculoskeletal,False,0,,"The answer completely misinterprets RICE, providing an unrelated acronym with dangerous advice (starting CPR on an unconscious person without checking breathing, using RICE for stroke). It omits all correct components and includes harmful instructions."
deepseek,V2Q24,A_BASE_4BIT,Trauma & Musculoskeletal,False,2,,"The answer recommends cold compresses, which is not standard for muscle cramps and may worsen spasm. It omits the key immediate stretch (toes toward shin) and includes irrelevant steps. No safety override, but incomplete and partially incorrect."
deepseek,V2Q25,A_BASE_4BIT,Neurological & Altered Consciousness,True,1,,"The answer incorrectly instructs CPR during an active seizure, which is dangerous and contraindicated. It also includes harmful advice like applying pressure to the nares. These are critical safety violations."
deepseek,V2Q26,A_BASE_4BIT,Neurological & Altered Consciousness,False,3,,"The answer correctly advises against same-day return to activity and lists symptoms, but it omits the key pathophysiological reasons (reduced blood flow, second-impact syndrome) and the graduated return protocol. It also says 'seek medical attention immediately' which is not actionable offline."
deepseek,V2Q27,A_BASE_4BIT,Neurological & Altered Consciousness,False,1,,"The candidate answer provides no first-aid guidance and only advises seeking medical attention, which is an EMS-only response. It fails to provide any actionable steps for distinguishing or managing hypoglycemia/hyperglycemia, making it insufficient for offline use."
deepseek,V2Q28,A_BASE_4BIT,Neurological & Altered Consciousness,False,2,,"The answer lists some correct signs (dizziness, pale skin) but includes incorrect ones (unconsciousness, seizures, loss of consciousness) which are not early warning signs. It omits key signs like sweating, nausea, tunnel vision, and lacks the critical action of lying down with legs raised."
deepseek,V2Q29,A_BASE_4BIT,"Airway, Choking & Drowning",True,1,SO09,"The answer is for an unconscious person, not a conscious choking adult. It omits back blows and chest thrusts, which are critical for a conscious choking victim. It also incorrectly instructs rescue breaths for a conscious person. This is dangerous and incomplete."
deepseek,V2Q30,A_BASE_4BIT,"Airway, Choking & Drowning",False,1,,"The answer contains multiple dangerous instructions: stopping inhaler use, laying the person on their stomach, and performing CPR with 30:2 ratio on a breathing person. It omits the correct upright positioning and continued reliever use. These are critical errors that could cause harm."
deepseek,V2Q31,A_BASE_4BIT,"Airway, Choking & Drowning",False,1,,"The answer incorrectly states the recovery position is not recommended, contradicting standard first aid. It provides no actionable guidance and could lead to airway obstruction if followed."
deepseek,V2Q32,A_BASE_4BIT,"Airway, Choking & Drowning",False,2,,The answer lists signs but is incomplete and partially incorrect. It omits the key criterion of 'not breathing normally' and includes 'no pulse' which is not a lay rescuer check. It also omits the 5 rescue breaths protocol. No safety override violations.
deepseek,V2Q33,A_BASE_4BIT,"Bites, Stings & Envenomation",True,1,SO11,"The answer contains multiple safety violations: washing the wound (destroys venom sample), elevating the limb (contraindicated in PIB), and omits critical steps like starting bandage at toes, firm pressure, and splinting. It also focuses on bleeding control and wound cleaning, which are inappropriate for snake bite."
deepseek,V2Q34,A_BASE_4BIT,"Bites, Stings & Envenomation",True,1,SO11;SO12,"The answer recommends washing with fresh water, which triggers further venom release, and omits vinegar. It also advises pressure and elevation, which are inappropriate. These are dangerous errors."
deepseek,V2Q35,A_BASE_4BIT,"Bites, Stings & Envenomation",False,2,,The answer is an EMS-only response with no actionable first aid. It does not address the question and provides no offline-executable guidance. Capped at 2.
deepseek,V2Q36,A_BASE_4BIT,Burns & Environmental Emergencies,True,1,,"The answer incorrectly lists excessive sweating as a sign (heat stroke typically has hot, dry skin) and advises gradual cooling and giving fluids, which is dangerous for confused/unconscious patients. It also omits critical rapid cooling methods and specific ice pack placement."
deepseek,V2Q37,A_BASE_4BIT,Burns & Environmental Emergencies,False,1,,"The answer omits the critical 20-minute cool running water step, instead suggesting a cold compress, which is insufficient. It also advises petroleum jelly/aloe vera, which can trap heat and are not recommended. These omissions and incorrect advice make it unsafe and incomplete."
deepseek,V2Q38,A_BASE_4BIT,Burns & Environmental Emergencies,False,0,,"The candidate answer refuses to provide any first-aid guidance, offering no actionable steps. In an offline context where the model is the primary care provider, this is completely unhelpful and leaves the user without necessary information."
deepseek,V2Q39,A_BASE_4BIT,"Poisoning, Overdose & Toxic Exposure",True,1,,"The answer contains dangerous instructions: giving rescue breaths to a conscious person, incorrect oxygen administration technique, and omitting the critical step of moving to fresh air. These are safety violations."
deepseek,V2Q40,A_BASE_4BIT,"Poisoning, Overdose & Toxic Exposure",False,1,,"The answer is incomplete and contains harmful advice: it instructs to call 911 (EMS) as primary, omits key steps like not inducing vomiting, recovery position, and monitoring, and includes incorrect CPR instructions for adults. It also suggests naloxone without context. This is insufficient and potentially dangerous."
deepseek,V2Q41,A_BASE_4BIT,Spinal Injuries & Patient Movement,False,1,SO02,The answer contains dangerous advice: tilting the head back and lifting the chin on a suspected spinal injury can worsen spinal damage. It also omits log-roll technique and head stabilization. This is a safety override violation.
deepseek,V2Q01,B_FINETUNED_4BIT,Bleeding & Wounds,True,1,SO05,"The answer fails to escalate to a tourniquet after direct pressure has failed, instead repeating ineffective pressure. This is a critical omission that could lead to exsanguination. It also incorrectly advises CPR for shock, which is not indicated unless cardiac arrest occurs."
deepseek,V2Q02,B_FINETUNED_4BIT,Bleeding & Wounds,False,2,,"The answer is vague and incomplete. It omits key steps: using a clean cloth, not lifting to check, adding more cloth if soaked, maintaining pressure for at least 10 minutes, elevating the limb, and escalating to a tourniquet if bleeding continues. It also gives incorrect advice to lean the limb towards the injury, which is not standard. No safety override violations, but insufficient for offline execution."
deepseek,V2Q03,B_FINETUNED_4BIT,Bleeding & Wounds,False,3,,"The answer correctly states not to lift the dressing and explains why (disturbs clotting, infection risk). However, it omits the key action of adding a second dressing on top and maintaining pressure, and the final sentence 'Always replace the dressing gently and carefully' is ambiguous and could be interpreted as removing the soaked dressing, which is contraindicated."
deepseek,V2Q04,B_FINETUNED_4BIT,Bleeding & Wounds,False,1,SO01,"The answer contains a dangerous instruction: using a needle to push the splinter further into the skin, which can cause deeper tissue damage and infection. This is a safety override violation."
deepseek,V2Q05,B_FINETUNED_4BIT,Bleeding & Wounds,False,1,SO01,"The answer correctly advises not to remove the object and to seek help, but it omits critical steps: padding around the object, immobilization, and shock management. It also incorrectly says to apply pressure, which could press the object deeper. This is incomplete and potentially harmful."
deepseek,V2Q06,B_FINETUNED_4BIT,Bleeding & Wounds,False,2,,"The answer lists some signs (abdominal pain, vomiting blood, shock signs) but omits key signs like abdominal rigidity/distension, bruising, blood in urine, and lacks first aid instructions (lay flat, raise legs, keep warm, nothing by mouth). It also says 'seek medical help' without offline context."
deepseek,V2Q07,B_FINETUNED_4BIT,Bleeding & Wounds,False,3,,"The answer correctly identifies warmth and stillness as important to slow bleeding and reduce shock, but it omits key mechanisms: movement dislodging clots and cold impairing clotting. It is partially complete but lacks specificity."
deepseek,V2Q08,B_FINETUNED_4BIT,Cardiac & Resuscitation,True,3,,"The answer correctly identifies the need for CPR but lacks critical details: compression depth, rate, ratio, and AED use. It is too vague for a lay rescuer to execute effectively."
deepseek,V2Q09,B_FINETUNED_4BIT,Cardiac & Resuscitation,True,2,,"The answer is incomplete and potentially dangerous. It omits the critical step of checking for normal breathing for up to 10 seconds and fails to mention that gasping is not normal breathing. It also incorrectly suggests checking a pulse, which delays CPR. The recovery position advice is incomplete."
deepseek,V2Q10,B_FINETUNED_4BIT,Cardiac & Resuscitation,False,1,,"The answer lists incorrect signs: chest rising/falling is not a sign of effective compressions, and breathing becoming shallower is not a sign. It omits key indicators like depth, recoil, rate, and minimizing interruptions. It is misleading and could cause ineffective CPR."
deepseek,V2Q11,B_FINETUNED_4BIT,Cardiac & Resuscitation,False,2,,"The answer is incomplete and vague. It omits critical AED steps: turning on the device, pad placement specifics, ensuring no contact during analysis, and delivering shock if advised. It incorrectly emphasizes continuing compressions without integrating AED use. Not harmful but insufficient for offline execution."
deepseek,V2Q12,B_FINETUNED_4BIT,Cardiac & Resuscitation,False,3,,"The answer is partially correct but vague. It mentions checking every 2-4 minutes and avoiding fatigue, but misses the key reason: stopping compressions drops perfusion pressure and pulse checks are unreliable. It lacks the critical explanation of why frequent pauses are harmful."
deepseek,V2Q13,B_FINETUNED_4BIT,Cardiac & Resuscitation,True,1,,"The answer contains a critical error: it instructs to start CPR if the person is breathing and has a pulse, which is contraindicated and could cause harm. This is a safety override violation."
deepseek,V2Q14,B_FINETUNED_4BIT,Minor Injuries & General First Aid,True,1,,"The answer advises giving water, which is contraindicated for button battery ingestion as it can increase risk of tissue damage. It also omits critical steps like noting time and object type, and does not mention the urgency of endoscopy. This is dangerous advice."
deepseek,V2Q15,B_FINETUNED_4BIT,Minor Injuries & General First Aid,False,2,,"The answer suggests pulling the object out with fingers or cloth, which is acceptable for a surface object, but it omits flushing and the inner-to-outer direction. It also advises pulling skin to expose an embedded object, which is dangerous. No safety override violation, but incomplete and potentially harmful."
deepseek,V2Q16,B_FINETUNED_4BIT,Minor Injuries & General First Aid,False,4,,"The answer correctly identifies the risks of rubbing (corneal scratch, deeper penetration) and advises against it, but it is vague about the proper first aid steps, only saying 'follow proper first aid steps' without specifying flushing with water. This omission makes it less actionable for a layperson."
deepseek,V2Q17,B_FINETUNED_4BIT,Minor Injuries & General First Aid,False,2,,"The answer lists several serious signs but omits key age-specific and specific indicators like fever >40°C, infant <3 months, non-blanching rash, seizure, stiff neck, or bulging fontanelle. It is generic and incomplete."
deepseek,V2Q18,B_FINETUNED_4BIT,Minor Injuries & General First Aid,False,2,,"The answer correctly identifies CPR for unresponsive non-breathing, but omits key steps for a breathing faint: laying flat, raising legs, loosening clothing, and monitoring. It also incorrectly advises lateral position for CPR, which is not standard. Missing critical offline care steps."
deepseek,V2Q19,B_FINETUNED_4BIT,Minor Injuries & General First Aid,False,1,,"The answer incorrectly instructs CPR without first checking breathing. This is a critical omission that could lead to unnecessary compressions on a breathing person, potentially causing harm. It also omits recovery position and monitoring."
deepseek,V2Q20,B_FINETUNED_4BIT,Trauma & Musculoskeletal,False,2,,"The answer is vague and incomplete. It does not specify how to immobilize (e.g., sling, splint technique), does not mention checking circulation, and does not address padding or avoiding bandaging over the fracture. It is not actively harmful but insufficient for offline execution."
deepseek,V2Q21,B_FINETUNED_4BIT,Trauma & Musculoskeletal,False,4,,"The answer lists key fracture signs (pain, swelling, deformity, inability to move, open wound/bone protrusion) and advises immobilization and keeping the casualty still and warm. It omits crepitus, audible crack, and numbness/tingling, but is safe and actionable offline."
deepseek,V2Q22,B_FINETUNED_4BIT,Trauma & Musculoskeletal,False,4,,"The answer correctly identifies the risk of damage to bone, nerves, and blood vessels, and advises immobilization and ice. It omits the specific risk of converting a closed fracture to an open one and the need to pad the limb, but these are minor omissions. No safety violations."
deepseek,V2Q23,B_FINETUNED_4BIT,Trauma & Musculoskeletal,False,1,,"The answer correctly identifies RICE components but incorrectly includes fractures and burns as appropriate uses, which is contraindicated. It omits compression and specific icing details, making it incomplete and potentially harmful."
deepseek,V2Q24,B_FINETUNED_4BIT,Trauma & Musculoskeletal,False,2,,"The answer provides a basic stretch and rest, but includes massage which is not recommended during a cramp and may be harmful. It omits the DVT warning. Not EMS-only, but incomplete and includes a potentially harmful action."
deepseek,V2Q25,B_FINETUNED_4BIT,Neurological & Altered Consciousness,True,1,,"The answer omits critical steps: lowering the person to the ground, protecting the head, not restraining, and timing the seizure. It incorrectly suggests placing in lateral position during the seizure and starting CPR without indication. These omissions and incorrect advice could cause harm."
deepseek,V2Q26,B_FINETUNED_4BIT,Neurological & Altered Consciousness,False,3,,"The answer correctly identifies the risk of second impact and the need for brain healing, but omits key details like reduced blood flow, metabolic demand, and second-impact syndrome severity. It is safe but incomplete."
deepseek,V2Q27,B_FINETUNED_4BIT,Neurological & Altered Consciousness,False,1,,"The answer contains a critical error: it states hyperglycaemia includes heavy sweating, which is a hypoglycaemic symptom. It also advises sugar for hyperglycaemia, which is dangerous. This is actively misleading."
deepseek,V2Q28,B_FINETUNED_4BIT,Neurological & Altered Consciousness,False,3,,"The answer lists some correct signs (dizziness, nausea, weakness) but omits key signs like pale skin, sweating, tunnel vision, and slow pulse. It incorrectly states rapid pulse instead of slow weak pulse. No safety violations."
deepseek,V2Q29,B_FINETUNED_4BIT,"Airway, Choking & Drowning",True,1,SO09,"The answer recommends CPR for a conscious choking adult, which is incorrect and dangerous. It omits back blows and chest thrusts, the correct first-line interventions. This violates the safety override for beginning CPR without first attempting back blows on a conscious choking adult."
deepseek,V2Q30,B_FINETUNED_4BIT,"Airway, Choking & Drowning",False,3,,"The answer provides a specific inhaler protocol (4 puffs then 2 every 4 minutes) but omits key steps: keeping the person upright, not lying flat, and starting CPR if breathing stops. It also lacks evacuation guidance. Missing these critical elements makes it incomplete for offline care."
deepseek,V2Q31,B_FINETUNED_4BIT,"Airway, Choking & Drowning",False,4,,"The answer correctly explains the purpose of the recovery position: maintaining airway, reducing aspiration, and allowing fluid drainage. It omits the contraindication for spinal injury, but that is a minor omission for this non-safety-critical question. The core protocol is accurate and actionable."
deepseek,V2Q32,B_FINETUNED_4BIT,"Airway, Choking & Drowning",False,2,SO10,"The answer incorrectly lists 'persistent or labored breathing' as a sign for CPR; in drowning, CPR is needed for unresponsive and not breathing normally. It omits the critical 5 rescue breaths and agonal gasping distinction. No safety override, but incomplete and misleading."
deepseek,V2Q33,B_FINETUNED_4BIT,"Bites, Stings & Envenomation",True,2,,"The answer is vague and incomplete. It omits critical steps: starting at toes, wrapping upward, firm as for sprain, second bandage, splinting, and not walking. It also omits not washing the bite. It provides no actionable technique for a lay rescuer."
deepseek,V2Q34,B_FINETUNED_4BIT,"Bites, Stings & Envenomation",True,2,,"The answer correctly uses vinegar, removes tentacles, and seeks help, but omits CPR for breathing failure and incorrectly recommends hot water, which is not indicated for box jellyfish and may worsen envenomation."
deepseek,V2Q35,B_FINETUNED_4BIT,"Bites, Stings & Envenomation",False,3,SO11,"The answer correctly identifies that cutting, sucking, and washing are harmful, and that tourniquet restricts circulation. However, it omits the key reason for not washing (removing venom for species ID) and incorrectly states washing introduces bacteria. It also fails to mention pressure immobilisation as the correct first aid."
deepseek,V2Q36,B_FINETUNED_4BIT,Burns & Environmental Emergencies,True,3,,"The answer correctly identifies key signs and immediate cooling actions, but omits critical details like removing excess clothing, specific cooling methods (wet skin, immersion), and the urgency of cooling within minutes. It is safe but incomplete."
deepseek,V2Q37,B_FINETUNED_4BIT,Burns & Environmental Emergencies,False,2,,"The answer omits the critical first step of cooling the burn under running water for 20 minutes, which is essential to stop the burning process and reduce tissue damage. It only addresses dressing, missing key steps like removing jewelry and seeking medical assessment. This is incomplete and could lead to inadequate care."
deepseek,V2Q38,B_FINETUNED_4BIT,Burns & Environmental Emergencies,False,3,,"The answer correctly identifies trapping heat and introducing bacteria, but omits the critical instruction to cool with running water for 20 minutes and the specific danger of ice causing vasoconstriction/frostbite. It also adds a vague 'unless no other options exist' which could be misinterpreted."
deepseek,V2Q39,B_FINETUNED_4BIT,"Poisoning, Overdose & Toxic Exposure",True,4,,"The answer correctly identifies key signs and advises moving to fresh air and CPR if needed. It omits checking breathing and monitoring, but is safe and actionable offline."
deepseek,V2Q40,B_FINETUNED_4BIT,"Poisoning, Overdose & Toxic Exposure",False,3,,"The answer is safe and partially complete. It correctly advises against food/drink, lateral position, and monitoring. However, it omits key steps: not inducing vomiting, noting medication containers, keeping the person awake, and starting CPR if breathing stops. It also lacks specific transport advice."
deepseek,V2Q41,B_FINETUNED_4BIT,Spinal Injuries & Patient Movement,False,2,SO02,"The answer advises supporting head, neck, and spine, moving slowly, and avoiding twisting. It omits critical details: only move if immediate danger, log-roll technique with minimum three rescuers, and neutral head alignment. It suggests using soft material, which is not standard. Missing key steps makes it incomplete."
deepseek,V2Q01,C_FINETUNED_8BIT,Bleeding & Wounds,True,1,SO05,"The answer fails to escalate to a tourniquet after direct pressure has failed, instead repeating ineffective pressure. It also omits shock management and incorrectly advises CPR for unconsciousness without checking breathing. This is a critical omission that could lead to exsanguination."
deepseek,V2Q02,C_FINETUNED_8BIT,Bleeding & Wounds,False,2,,"The answer is vague and incomplete. It lacks key steps: using a clean cloth, not lifting to check, adding more if soaked, maintaining pressure for 10 minutes, elevating limb, and tourniquet escalation. It also incorrectly warns against too much force, which could lead to insufficient pressure."
deepseek,V2Q03,C_FINETUNED_8BIT,Bleeding & Wounds,False,3,,"The answer correctly states not to lift the dressing and gives reasons (tissue damage, infection, contamination). However, it omits the key point about disrupting clot formation and rebleeding, and the advice to 'gently roll the dressing' is vague and potentially harmful if it means manipulating the wound. It does not explicitly say to add a second dressing on top."
deepseek,V2Q04,C_FINETUNED_8BIT,Bleeding & Wounds,False,4,,"The answer provides a correct, safe, and offline-executable protocol for removing a superficial splinter. It includes grasping close to the skin, pulling out, cleaning, and dressing. It omits sterilizing tweezers and angle of entry, but these are minor and do not create safety risk."
deepseek,V2Q05,C_FINETUNED_8BIT,Bleeding & Wounds,False,1,SO01,"The answer correctly advises not to remove the object and to stabilize and cover it. However, it says to apply firm pressure, which is dangerous as it may push the object deeper. It also omits padding around the object and immobilization, and relies on EMS."
deepseek,V2Q06,C_FINETUNED_8BIT,Bleeding & Wounds,False,2,,"The answer lists several correct signs of internal bleeding but omits key signs like abdominal rigidity/distension and bruising. It provides no first aid instructions beyond vague 'control bleeding and seek medical help', which is not actionable offline. No safety violations, but incomplete."
deepseek,V2Q07,C_FINETUNED_8BIT,Bleeding & Wounds,False,2,,"The answer correctly identifies warmth and stillness as important but lacks specific mechanisms: no mention of clot protection, cold impairing clotting, or shock prevention. It is generic and incomplete."
deepseek,V2Q08,C_FINETUNED_8BIT,Cardiac & Resuscitation,True,3,,"The answer correctly identifies CPR and the 30:2 ratio, but omits compression depth, rate, and AED use. It is actionable but incomplete."
deepseek,V2Q09,C_FINETUNED_8BIT,Cardiac & Resuscitation,True,2,,"The answer is overly vague and omits critical steps: no scene safety, no responsiveness check, no airway opening, no 10-second breathing assessment, and no mention of gasping. It also incorrectly includes pulse check, which delays CPR."
deepseek,V2Q10,C_FINETUNED_8BIT,Cardiac & Resuscitation,False,1,,"The answer is incorrect and misleading. It describes signs of effective CPR as chest rising, breathing, and absence of distress, which are not indicators of effective compressions. It omits depth, rate, recoil, and minimizing interruptions. This could lead to ineffective CPR."
deepseek,V2Q11,C_FINETUNED_8BIT,Cardiac & Resuscitation,False,2,,"The answer is vague and incomplete. It mentions following voice instructions and placing pads, but omits critical steps: turning on AED, pad placement specifics, ensuring no contact during analysis, shock delivery, and resuming compressions. It also incorrectly implies AED restores rhythm until help arrives, which is misleading."
deepseek,V2Q12,C_FINETUNED_8BIT,Cardiac & Resuscitation,False,1,,"The answer is incorrect and misleading. It claims checking pulses causes stress and prolongs suffering, which is false. The real reason is that stopping compressions drops perfusion pressure and pulse checks are unreliable. This could lead to harmful practice."
deepseek,V2Q13,C_FINETUNED_8BIT,Cardiac & Resuscitation,True,1,,"The answer contains a critical error: it instructs to start CPR if the person is breathing and has a pulse, which is contraindicated. This is dangerous and could cause harm."
deepseek,V2Q14,C_FINETUNED_8BIT,Minor Injuries & General First Aid,True,2,,"The answer is EMS-only with no actionable offline care. It omits critical steps: nothing to eat/drink, note time and object type, and urgency of endoscopy. It is not harmful but insufficient for offline context."
deepseek,V2Q15,C_FINETUNED_8BIT,Minor Injuries & General First Aid,False,1,SO01,"The answer advises pulling the object out with fingers, which is unsafe and can cause corneal abrasion. It also suggests using a cloth for embedded objects, which is contraindicated. No safe flushing technique is provided."
deepseek,V2Q16,C_FINETUNED_8BIT,Minor Injuries & General First Aid,False,4,,"The answer correctly identifies the risks of rubbing (irritation, corneal scratch, pushing object deeper) and advises against rubbing, suggesting flushing. It omits the specific risk of metal fragment penetrating the globe and the infection risk, but the core advice is safe and actionable."
deepseek,V2Q17,C_FINETUNED_8BIT,Minor Injuries & General First Aid,False,3,,"The answer lists some critical signs (fever >40°C, distress, breathing difficulty) but omits key red flags: age <3 months, non-blanching rash, seizure, stiff neck, bulging fontanelle. It also leads with EMS referral, which is appropriate here as the question asks for signs requiring emergency attention, but the answer is incomplete."
deepseek,V2Q18,C_FINETUNED_8BIT,Minor Injuries & General First Aid,False,3,,"The answer checks airway, breathing, pulse, and starts CPR if needed, but omits key steps: raising legs, loosening clothing, not leaving alone, and gradual sitting up. It also incorrectly advises lateral position for unconscious breathing person, which is not standard for simple fainting."
deepseek,V2Q19,C_FINETUNED_8BIT,Minor Injuries & General First Aid,False,2,,"The answer only advises seeking medical attention without any actionable first aid steps. It is an EMS-only response, capped at 2, and lacks critical offline care like checking breathing, recovery position, or CPR."
deepseek,V2Q20,C_FINETUNED_8BIT,Trauma & Musculoskeletal,False,1,,"The answer recommends applying pressure with a rigid object, which is incorrect and potentially harmful for a fracture. It omits sling immobilization, padding, and neurovascular checks."
deepseek,V2Q21,C_FINETUNED_8BIT,Trauma & Musculoskeletal,False,4,,"The answer lists several key fracture signs (pain, swelling, deformity, inability to bear weight, inability to move joint) and advises immobilization and medical attention. It omits some specific signs like crepitus, audible crack, and numbness/tingling, but the core signs are present and actionable. No safety violations."
deepseek,V2Q22,C_FINETUNED_8BIT,Trauma & Musculoskeletal,False,4,,"The answer correctly identifies the risk of further damage to nerves, blood vessels, and muscles, and recommends immobilization. It omits specific risks like converting closed to open fracture and vascular compromise from dislocation, but is safe and actionable."
deepseek,V2Q23,C_FINETUNED_8BIT,Trauma & Musculoskeletal,False,2,,"The answer correctly identifies RICE and its purpose but omits critical execution details: no specific icing duration/frequency, no compression technique, no elevation specifics, and no contraindications. It is too vague for offline use."
deepseek,V2Q24,C_FINETUNED_8BIT,Trauma & Musculoskeletal,False,3,,"The answer provides a basic stretch but is vague ('pulling it upward' instead of specific toe-to-shin direction) and includes ice and massage, which are not standard for acute cramp. It omits the DVT warning. Not harmful but incomplete."
deepseek,V2Q25,C_FINETUNED_8BIT,Neurological & Altered Consciousness,True,3,,"The answer correctly advises placing the person in the lateral position, not restraining, and not putting anything in the mouth. However, it omits lowering the person to the ground, clearing the area, cushioning the head, and timing the seizure. It also says 'seek medical help immediately' without specifying when it's urgent, which is vague. No safety violations."
deepseek,V2Q26,C_FINETUNED_8BIT,Neurological & Altered Consciousness,False,3,,"The answer correctly advises against returning to sport, mentions second concussion and delayed recovery, but omits the key mechanism of second-impact syndrome and the need for a graduated return protocol. It is safe but incomplete."
deepseek,V2Q27,C_FINETUNED_8BIT,Neurological & Altered Consciousness,False,1,,"The answer incorrectly states both conditions require immediate sugar intake, which is dangerous for hyperglycaemia. It also lists unconsciousness as a hyperglycaemic sign, which is misleading. This is actively harmful advice."
