split,index,qid,question,jaccard,train_index,train_question,train_answer,reference
bank,16,V2Q17,What signs indicate that a child's fever has reached a level requiring immediate emergency medical attention?,0.38095238095238093,4115,What signs indicate that an asthma attack has progressed to a medical emergency?,"Warning signs include increasing difficulty speaking, confusion, blue lips, little or no relief after reliever use, and rapid deterioration. These indicate a severe attack needing urgent medical attention. Continue administering reliever puffs and call emergency services immediately.","Transport urgently for: temperature above 40 degrees Celsius; any fever above 38 degrees in an infant under 3 months; a rash that does not fade under pressure, suggesting meningococcal disease; seizure with fever; difficulty waking; difficulty breathing; a very unwell appearance; stiff neck or bulging fontanelle."
bank,17,V2Q18,What should you do for someone who has fainted and collapsed to the ground?,0.4444444444444444,3332,What should I do if someone faints and falls to the ground?,"If someone faints and falls to the ground, carefully check for any injuries first. Lay them down in a safe position with their feet raised, and check their pulse and breathing. Loosen tight clothing and ensure they have fresh air. Seek medical help if they do not regain consciousness soon.","Check for a response. If unresponsive and not breathing normally, start CPR. If breathing, lay them flat and raise the legs above heart level. Loosen tight clothing. Give nothing to eat or drink. Do not leave them alone. Once conscious, keep them lying down before letting them sit up slowly."
bank,18,V2Q19,What should you do if someone who fainted does not regain consciousness within one to two minutes?,0.3333333333333333,86,What should you do if you find someone unconscious and not breathing?,"If you find someone unconscious and not breathing, call emergency services immediately. Start CPR (Cardiopulmonary Resuscitation) by performing chest compressions at a rate of 100–120 compressions per minute. If trained, provide rescue breaths. Continue CPR until help arrives or the person starts breathing.","Treat it as an emergency. Tilt the head back and lift the chin. If breathing, roll them onto their side into the recovery position and monitor breathing. If breathing stops, start CPR. Note the time of collapse. Do not leave them alone. Evacuate urgently."
bank,19,V2Q20,How do you immobilise a suspected fracture of the forearm before medical help arrives?,0.3888888888888889,3716,How do you assess the severity of a fracture in the field?,"Look for visible deformity, inability to move the limb, intense pain, swelling, and bruising. If the bone is exposed, this is a compound fracture, which is more severe. Any injury suspected to be a fracture should be immobilized and medical help sought immediately.","Do not straighten the arm. Support it in the position found. Make a sling from a triangular bandage or improvised cloth to hold the arm across the chest at about 90 degrees of elbow flexion. Pad bony prominences. Never bandage over the fracture site. Check circulation, sensation and movement in the fingers before and after."
bank,20,V2Q21,What are the signs that suggest a person may have a fracture rather than a severe sprain?,0.45,999,What are the signs that indicate a fracture may have damaged nearby blood vessels?,"Signs of blood vessel damage include excessive swelling, bruising around the fracture site, or visible pulsating from the wound. If there is any significant bleeding or color change in the extremities (e.g., pale or blue fingers/toes), immediate medical intervention is needed to control bleeding and prevent further complications.","Fracture is more likely with an audible crack or snap; visible deformity or abnormal angulation; crepitus on palpation; severe pain worsening with pressure over the bone; swelling and bruising within minutes; inability to bear weight; numbness or tingling below the injury; or bone visible through the skin. If in doubt, treat as a fracture: immobilise and keep weight off."
bank,21,V2Q22,Why should you not attempt to straighten a fractured or dislocated limb?,0.3684210526315789,595,Why should you not give food or drink to a casualty during an emergency?,"Giving food or drink to a casualty during an emergency can be dangerous, especially if surgery or medical procedures might be needed later. It could also cause choking if the person is semi-conscious or unconscious. Always wait until professional help arrives.","Sharp bone ends can lacerate arteries, veins and nerves, and forcing the limb can tent the skin and convert a closed fracture to an open one. Forcing a dislocation can trap bone or soft tissue in the joint and permanently compromise its blood supply. Immobilise in the position found, padded. Do not reduce or realign."
bank,22,V2Q23,What does the RICE method involve and when is it appropriate to use it?,0.35294117647058826,1938,"What is the Heimlich maneuver, and how does it work?","The Heimlich maneuver is a first aid procedure used to treat upper airway obstructions (or choking). It involves delivering abdominal thrusts just above the navel, which forces air from the lungs to expel the object blocking the airway. It is used when a person is unable to breathe due to choking.","RICE is Rest, Ice, Compression, Elevation. Rest: stop activity. Ice: a cold pack wrapped in cloth for 20 minutes every 2 hours for 48 hours, never directly on skin. Compression: a firm elastic bandage, checking circulation to fingers or toes. Elevation: raise the limb above heart level. Not for fractures, dislocations or open wounds."
bank,23,V2Q24,How can you help someone who is experiencing a severe cramp in their calf muscle?,0.3684210526315789,781,How can you prevent shock in someone who is severely dehydrated?,"To prevent shock in someone who is severely dehydrated, it is important to rehydrate them by giving fluids, ideally an oral rehydration solution (ORS). Monitor their vital signs closely and provide immediate medical attention if their condition worsens, as dehydration can rapidly lead to shock if left untreated.","Stop the activity and have the person sit or lie down. Stretch the calf by pulling the toes and ball of the foot toward the shin, holding steadily without forcing. Do not massage hard during the cramp. If the calf is swollen and tender, seek assessment for deep vein thrombosis."
bank,24,V2Q25,What should you do if someone who is standing suddenly begins to have a tonic-clonic seizure?,0.4,4333,What should you do if someone is stung by a jellyfish?,"If stung by a jellyfish, rinse the affected area with vinegar to neutralize the venom. Do not rub the sting site. Seek medical help immediately, especially for stings from dangerous species like box jellyfish.","Lower them to the ground. Do not restrain them. Do not put anything in their mouth. Clear hard objects away and put something soft under the head. Note the time it starts. When convulsions stop, roll them onto their side into the recovery position and monitor breathing. Seek assessment for a first seizure, one over 5 minutes, or failure to return to normal awareness."
bank,25,V2Q26,Why should a person who has sustained a concussion not return to sport or vigorous activity on the same day?,0.2916666666666667,4260,How should I treat a person who has a snakebite on the leg?,"If someone has been bitten by a snake on the leg, keep them calm and still. Try to keep the bitten leg immobilized and elevated slightly. Do not attempt to suck out the venom or apply ice. Call emergency services immediately and, if possible, identify the snake to help with treatment.","After a concussion the brain has reduced blood flow and impaired energy regulation. Exertion raises metabolic demand exactly when the brain cannot meet it, prolonging symptoms. A second impact before the first resolves can cause second-impact syndrome, a rapid and potentially fatal brain swelling. Resume only through a graduated protocol after a symptom-free period."
bank,26,V2Q27,How do you recognise the difference between hypoglycaemia and hyperglycaemia in a conscious person with known diabetes?,0.3333333333333333,1349,How do you assist a conscious person with a suspected fractured jaw?,"If the person is conscious and able to assist, help them sit in the most comfortable position and instruct them to support their jaw with their own hand. Do not attempt to bandage or manipulate the jaw. Reassure the person and call for medical help immediately.","Hypoglycaemia develops over minutes: pale sweaty skin, shakiness, confusion, hunger, palpitations, glucose below 4 mmol/L. Hyperglycaemia develops over hours: heavy thirst, frequent urination, fruity breath, fatigue. If unsure and the person is conscious and can swallow safely, give sugar. If they cannot swallow safely, give nothing by mouth. Seek care if no improvement within 15 minutes."
bank,27,V2Q28,What are the early warning signs that someone is about to faint?,0.5333333333333333,2012,What are the signs that a seizure is about to occur?,"Some people with epilepsy may experience a warning sign called an aura before a seizure. This can include visual disturbances, strange smells, a feeling of déjà vu, or other sensory changes. However, not all individuals experience auras, and seizures can happen suddenly.","Warning signs include sudden lightheadedness, pale or ashen skin, cold clammy sweating, nausea, tunnel vision or greying out, a slow weak pulse, ringing in the ears, and leg weakness. These appear 30 seconds to a few minutes before collapse. Get them lying flat and raise their legs."
bank,28,V2Q29,"What should you do if a conscious adult is choking on food, cannot speak or cough effectively, and is beginning to turn blue?",0.5,3876,What should I do if a choking adult is unable to cough or speak?,"If a choking adult is unable to cough or speak, their airway is likely completely blocked. You should immediately perform the Heimlich maneuver. Position the person upright, place your hands just above their navel, and deliver quick, inward and upward thrusts until the object is expelled or they become unresponsive.","Lean the person forward and give up to 5 back blows between the shoulder blades with the heel of your hand, checking the mouth after each. If they fail, give up to 5 chest thrusts: same landmark as CPR compressions, on the lower half of the breastbone, but sharper and slower. Alternate until it clears. If they lose consciousness, start CPR."
bank,29,V2Q30,What should you do if someone with known asthma is having an attack and multiple doses from their reliever inhaler have not helped?,0.4642857142857143,749,How should I assist someone having an asthma attack if they do not have their inhaler with them?,"If someone is having an asthma attack and they don’t have their medication with them, call an ambulance immediately and inform them it's an asthma emergency. While waiting, help the person sit in a quiet, warm place and stay calm. Do not leave them alone, and avoid lying them down. Ambulances are equipped to handle asthma, including in children.","Keep them calm and upright, leaning slightly forward. Do not lay them flat. Give 4 puffs of the blue reliever every 4 minutes while preparing for evacuation. Do not give sedatives or antihistamines. No response after 4 or more puffs means a life-threatening attack needing hospital treatment. If they stop breathing normally, start CPR."
bank,30,V2Q31,Why is it important to place an unconscious but breathing person in the recovery position?,0.7058823529411765,529,Why is it important to place an unconscious choking person in the lateral position?,"Placing an unconscious choking person in the lateral position helps maintain their airway, monitor their breathing and pulse, and ensures that any obstructed airways can be cleared while waiting for medical assistance. This position also helps prevent choking on vomit.",An unconscious person loses the reflexes that stop the tongue obstructing the airway and stop vomit being inhaled. Lying on the side with the top knee bent forward and the head tilted back keeps the airway open and lets fluid drain. Do not use it if spinal injury is suspected unless the airway cannot be maintained otherwise.
bank,31,V2Q32,What are the signs that a person rescued from drowning requires CPR rather than just observation and monitoring?,0.36363636363636365,1883,What signs indicate that a person is drowning and not just swimming?,"Drowning often happens quietly. Watch for signs such as struggling to keep their head above water, silent gasping, an upright posture with minimal leg movement, or an inability to call for help. Immediate response is crucial even if they aren’t actively calling or waving for help.","Start CPR if the person is unresponsive and not breathing normally after removal from the water. Agonal gasping is not normal breathing. Coughing, spluttering or movement means they are breathing: monitor closely, as deterioration can be delayed. Anyone rescued needs medical assessment even if apparently recovered. For drowning, give 5 rescue breaths before compressions."
bank,32,V2Q33,How should you apply pressure immobilisation bandaging to a suspected snake bite on the lower leg?,0.3,98,How should I handle a snake bite on a pregnant woman?,"In the case of a pregnant woman, apply pressure immobilization as you would for any other victim, but keep the woman as calm and still as possible. Ensure she is in a comfortable position, and monitor for signs of shock or distress. Immediate medical attention is necessary, and you should provide as much information as possible to paramedics about the pregnancy.","Apply pressure immobilisation immediately. Do not wash the bite: residual venom identifies the species and determines the antivenom. Starting at the toes, wrap a firm elastic or crepe bandage upward over the whole limb, as firmly as for a sprain. Add a second bandage as far up the limb as possible and splint with rigid material. The person must not walk. Evacuate urgently for antivenom; the bandage stays on until hospital."
bank,33,V2Q34,What should you do if someone is stung by a box jellyfish at a beach in tropical Australia?,0.7058823529411765,503,What should you do if someone is stung by a box jellyfish?,"If stung by a box jellyfish, immediately remove the victim from the water and rinse the sting site with vinegar. Do not rub the sting site, and seek immediate medical aid, as these stings can be fatal.","Flood the sting with undiluted vinegar immediately for at least 30 seconds. Do not rub the area, apply fresh water, or handle tentacles bare-handed; each triggers further venom release. Remove tentacles with tweezers or gloved hands after the vinegar. If they stop breathing normally, start CPR at once."
bank,34,V2Q35,"Why should you avoid cutting, sucking, applying a tourniquet to, or washing a snake bite wound?",0.42857142857142855,3573,Why is it important to avoid cutting or sucking out venom from a snake bite?,Cutting or sucking out venom from a snake bite can worsen the situation by increasing the spread of venom and causing further injury. The best approach is to apply pressure immobilization and seek medical help immediately.,"Cutting and sucking remove negligible venom while causing tissue damage and infection risk. Washing removes the residual venom used to identify the species, which determines the antivenom given. A tourniquet causes ischaemic damage while doing nothing to stop spread, because Australian snake venom travels via the lymphatic system. Pressure immobilisation is the only evidence-based first aid."
bank,35,V2Q36,"How do you recognise heat stroke, and what must you do immediately?",0.46153846153846156,1629,How do you differentiate between heat exhaustion and heat stroke?,"Heat exhaustion occurs with symptoms like heavy sweating, weakness, nausea, and dizziness, and is often caused by dehydration or excessive heat exposure. Heat stroke, however, is a life-threatening condition characterized by a body temperature above 40°C, confusion, lack of sweating, and unconsciousness. Immediate medical attention is required for heat stroke.","Heat stroke is life-threatening. Recognise it by core temperature above 40 degrees Celsius, hot dry skin, confusion or unconsciousness, and a rapid strong pulse. Move to the coolest place and remove excess clothing. Cool at once: ice packs to neck, armpits and groin; wet the skin and fan vigorously; or immerse in cool water if safe. Give no fluids to anyone confused or unconscious. Begin cooling within minutes."
bank,36,V2Q37,What should you do if someone has a partial thickness burn covering a significant area of their forearm?,0.4444444444444444,3217,What should you do if someone has a nosebleed?,"If someone has a nosebleed, first instruct them not to blow their nose and to breathe through their mouth. Have them sit down and lean slightly forward to avoid swallowing blood. Ask them to pinch their nostrils together and hold for about 10 minutes. Loosen any tight clothing around their neck, chest, and waist. If the bleeding continues, repeat the process. Avoid blowing the nose for several hours after the bleeding stops. If the bleeding persists, seek medical attention.","Cool the burn under cool running water for a full 20 minutes immediately. Do not use ice, iced water, butter, toothpaste or creams. Then cover loosely with clean non-fluffy material such as cling film. Do not wrap tightly or burst blisters. Remove rings and tight clothing before swelling begins, unless stuck to the wound. Seek hospital assessment."
bank,37,V2Q38,"Why should you not apply butter, toothpaste, oil, or ice directly to a burn?",0.3333333333333333,595,Why should you not give food or drink to a casualty during an emergency?,"Giving food or drink to a casualty during an emergency can be dangerous, especially if surgery or medical procedures might be needed later. It could also cause choking if the person is semi-conscious or unconscious. Always wait until professional help arrives.","Butter, oils and toothpaste trap heat in burned tissue and block the cooling running water provides. They also feed bacteria, raising infection risk. Ice constricts vessels at the burn margins, reducing blood flow to tissue that might survive, and risks frostbite. Cool running water for 20 minutes is the only evidence-based treatment."
bank,38,V2Q39,What are the signs of carbon monoxide poisoning and what should you do if you suspect it?,0.47058823529411764,2111,What are the signs of poisoning from inhaling carbon monoxide?,"Signs of poisoning from inhaling carbon monoxide include headache, dizziness, nausea, vomiting, confusion, weakness, and shortness of breath. In severe cases, loss of consciousness, chest pain, and even death can occur. Seek fresh air immediately and get medical help urgently.","Carbon monoxide poisoning causes headache, dizziness, nausea, confusion and fatigue, resembling flu without fever. Several people or pets affected in the same space suggests it. Do not enter without breathing apparatus. Move the person to fresh air if safe. Monitor breathing, as effects can worsen after apparent recovery. If unresponsive, start CPR."
bank,39,V2Q40,What should you do if you find a conscious but confused person who you suspect may have taken an overdose of medication?,0.391304347826087,1317,What should you do if a person is choking but still conscious?,"Encourage the person to cough if they can. If coughing is ineffective, perform back blows by striking the person between the shoulder blades with the heel of your hand. If this doesn't work, perform abdominal thrusts (Heimlich maneuver) until the object is dislodged.","Do not induce vomiting. Note any medication containers. Keep the person awake and talking. If they become drowsy, roll them onto their side into the recovery position. Give nothing to eat or drink. Monitor breathing. If breathing stops or becomes abnormal, start CPR. Transport urgently with all containers."
bank,40,V2Q41,What precautions should you take when you need to help move a casualty who may have sustained a spinal injury?,0.47619047619047616,375,What precautions should you take when moving a casualty with a possible spinal injury?,"When moving a casualty with a potential spinal injury, it's crucial to support the head, neck, and spine at all times. The movement should be smooth and controlled, without jerking the body. Improper handling can worsen spinal injuries and lead to permanent damage.","Do not move a suspected spinal injury casualty unless there is immediate danger to life. If movement is unavoidable, one person holds the head in neutral alignment with the spine. Use a log-roll with a minimum of three rescuers: one controls the head, two roll the body as one rigid unit. Do not sit or stand the casualty."
val,13,,How can fainting be prevented in athletes?,0.75,427,How can fainting be prevented in children?,"In children, fainting can often be prevented by ensuring they stay hydrated, avoid standing for long periods, and take regular breaks during physical activity. Additionally, children should be encouraged to rest when feeling faint or dizzy.","In athletes, fainting can be prevented by staying hydrated, taking regular breaks, and avoiding overexertion. It is also important to avoid exercising in extreme heat and to ensure a proper warm-up and cool-down routine."
val,68,,How should I treat a person who is bleeding from a scalp wound?,0.7857142857142857,1246,How should I treat a person who is bleeding from a large open wound?,"For a large open wound, apply direct pressure with a clean cloth or bandage to control bleeding. If the bleeding is severe, elevate the injured limb if possible and apply more pressure. Avoid removing any embedded objects from the wound. Cover the wound with a sterile dressing, and seek medical help immediately to ensure proper wound care and control of bleeding.","For a scalp wound, apply gentle pressure to stop the bleeding. Use a clean cloth or bandage and press firmly on the wound. If blood continues to flow, keep applying more pressure. If the wound is large or deep, seek medical help immediately. Avoid removing any embedded objects from the wound."
val,78,,How do I treat a sprained ankle?,0.75,87,How do I treat a sprained wrist?,"For a sprained wrist, follow the R.I.C.E method: Rest, Ice, Compression, and Elevation. Apply ice wrapped in a cloth to the injured wrist to reduce swelling. Use an elastic bandage to compress the wrist and help stabilize it. Elevate the wrist above the heart level to further reduce swelling. Avoid using the wrist and seek medical attention if pain persists.","To treat a sprained ankle, follow the R.I.C.E method: Rest, Ice, Compression, and Elevation. Rest the injured ankle, apply ice wrapped in a cloth to reduce swelling, and compress the ankle with an elastic bandage. Elevate the ankle above heart level to further reduce swelling. Avoid walking on the injured ankle and seek medical help if there’s severe pain or difficulty moving the joint."
val,119,,What are the first signs of poisoning from inhaling carbon monoxide?,1.0,648,What are the first signs of poisoning from inhaling carbon monoxide?,"The first signs of carbon monoxide poisoning include dizziness, headache, nausea, vomiting, confusion, shortness of breath, and a general sense of weakness. In more severe cases, unconsciousness may occur. It is important to get the person to fresh air immediately and seek urgent medical help.","The first signs of carbon monoxide poisoning include headache, dizziness, nausea, vomiting, and confusion. As exposure increases, symptoms can worsen to include shortness of breath, loss of consciousness, and even death. If you suspect carbon monoxide poisoning, immediately get the person to fresh air and seek medical attention."
val,154,,What is the best way to prevent young children from swallowing small objects?,0.8461538461538461,1926,What is the best way to prevent children from swallowing objects?,"The best way to prevent children from swallowing objects is to regularly inspect toys and household items for small, loose, or sharp parts. Keep choking hazards out of reach, and supervise children during play, especially if they are playing with small items. Education and awareness are also crucial in preventing accidents.","To prevent young children from swallowing small objects, regularly check toys for small parts, and avoid giving children small objects like coins, beads, or buttons. Store dangerous objects out of reach and educate children about the risks of putting things in their mouths."
val,166,,What should I do if a person’s eye becomes swollen after a blow to the face?,0.7894736842105263,1714,What should I do if a person’s eye is swollen and closed after a blow to the face?,"If a person’s eye is swollen and closed after a blow to the face, apply an ice pack to the affected area, but not directly on the eye. This will help reduce swelling and pain. If the swelling persists or if there is any concern about the eye itself, seek medical advice.","If a person's eye becomes swollen after a blow to the face, apply an ice pack wrapped in a cloth to the area. Avoid placing ice directly on the eye. If the swelling worsens or if there is difficulty seeing, seek medical advice immediately."
val,173,,"What should I do if my child swallows a small, smooth object?",0.7857142857142857,901,"What should I do if my child swallows a small, hard plastic object?","If your child swallows a small, hard plastic object, it is crucial to seek medical help immediately. The object could cause choking, a blockage, or irritation in the digestive system. Do not give your child anything to eat or drink, and take them to the hospital as soon as possible for evaluation and potential treatment.","Small, smooth objects usually do not pose a significant risk. However, you should monitor the child closely for any signs of distress or discomfort. If there are no immediate symptoms and the object seems to have passed through the digestive system without causing issues, it is generally not a concern. Nevertheless, it’s always a good idea to consult a doctor for peace of mind."
val,184,,Why is it important to leave the bottom edge of a dressing open over a sucking wound?,0.8333333333333334,573,Why is it important to leave the bottom edge of the dressing open when treating a sucking wound?,"Leaving the bottom edge of the dressing open is important because it allows air to escape from under pressure, preventing further collapse of the lung. If the bottom edge were taped shut, it could trap air inside, worsening the lung collapse and making it harder for the casualty to breathe.","Leaving the bottom edge of the dressing open is important because it allows air to escape from the chest cavity under pressure. If the bottom edge is sealed, the trapped air could cause further lung collapse or create additional pressure inside the chest. This open area ensures that the casualty can breathe more easily."
val,189,,How should I treat a black eye if there is no ice pack available?,1.0,2931,How should I treat a black eye if there is no ice pack available?,"If no ice pack is available, you can use a cold compress or a clean cloth soaked in cold water to apply to the black eye. This will help reduce swelling. Be sure not to apply any cold directly to the eye itself. If the swelling does not decrease or the eye becomes painful, seek medical advice.","If no ice pack is available, you can use a cold compress or a clean cloth soaked in cold water to apply to the black eye. This will help reduce swelling. Be sure not to apply any cold directly to the eye itself. If the swelling does not decrease or the eye becomes painful, seek medical advice."
